the_alert_strategy,time_before_hazard,self.casualties
nil,0,175
nil,0,187
nil,0,232
nil,0,208
nil,0,147
nil,0,178
nil,0,126
nil,0,171
nil,0,110
nil,0,122
nil,0,148
nil,0,96
nil,0,118
nil,0,91
nil,0,79
nil,0,130
nil,0,138
nil,0,74
nil,0,124
nil,0,96
nil,0,222
nil,0,210
nil,0,223
nil,0,156
nil,0,142
nil,0,187
nil,0,135
nil,0,157
nil,0,144
nil,0,94
nil,0,118
nil,0,89
nil,0,96
nil,0,115
nil,0,167
nil,0,92
nil,0,91
nil,0,86
nil,0,78
nil,0,113
nil,0,155
nil,0,117
nil,0,110
nil,0,172
nil,0,95
nil,0,107
nil,0,138
nil,0,92
nil,0,104
nil,0,76
